checkpoint,cycle,capacity_01c_ah,dcir_ohm,hppc_power_w,throughput_ah,lli_pct,lam_ne_pct,lam_pe_pct,neg_porosity,voltage_v,dcir_100_soc_ohm,hppc_discharge_power_100_soc_w,hppc_charge_power_100_soc_w,dcir_80_soc_ohm,hppc_discharge_power_80_soc_w,hppc_charge_power_80_soc_w,dcir_50_soc_ohm,hppc_discharge_power_50_soc_w,hppc_charge_power_50_soc_w,dcir_20_soc_ohm,hppc_discharge_power_20_soc_w,hppc_charge_power_20_soc_w,dqdv_peak_v_discharge,dqdv_peak_h_discharge,ica_area_discharge,dqdv_peak_v_charge,dqdv_peak_h_charge,ica_area_charge,soh_pct
1,5,5.078625754952908,0.0323836782714773,21.790609503947582,64.4073658513287,0.1530339574610764,0.0035527363053518,0.0018980395333869637,0.24556849046060006,3.495113516642443,0.0323836782714773,20.24807705825218,21.790609503947582,0.027457730046769414,19.57575897620095,20.904284089690943,0.026502752395672326,18.192881335099237,19.47252105707031,0.028697234336552135,16.811129321671366,18.199138426077784,4.075032441846815,-20.229765894777454,5.07862575495291,4.118885264943033,-17.81183188054308,5.016000409899868,100.0
2,10,5.072394313846664,0.03241721537169777,21.792852729932495,60.28186602332986,0.2275303254134542,0.006698134947441758,0.0037965715703620617,0.24349879794937843,3.4953569193298626,0.03241721537169777,20.246488938218334,21.792852729932495,0.02753486084430552,19.57365418228688,20.906782087180105,0.026619262402550525,18.192361272352887,19.474148473760287,0.02877821342343978,16.809915746480613,18.201428502481868,4.075112863451284,-20.341616868546133,5.072394313846669,4.1188922145333,-17.912565210895934,5.009789246469596,99.87730064377817
3,15,5.067952740947513,0.032453218612151426,21.79488595292269,60.22183946127612,0.28732737542014775,0.009839494595780707,0.005689671509657046,0.241857280691,3.4951831272841636,0.032453218612151426,20.245296574525224,21.79488595292269,0.027594830960055994,19.571804778899065,20.909051856372074,0.026706063261010195,18.190474719340397,19.47648702700363,0.028873909475340298,16.806346045506682,18.20416676646177,4.075229946883979,-20.399937833547195,5.0679527409475105,4.118896139705648,-18.055571815668372,5.005229710419206,99.78984444768379
4,20,5.064412322905183,0.03249118002627434,21.79668199654508,60.17535908909828,0.3389979372488483,0.012978473606551688,0.007578322141085891,0.2404503801382724,3.495063383976985,0.03249118002627434,20.244303827796315,21.79668199654508,0.027644271537927166,19.57024580375284,20.911279102155042,0.026795532057199624,18.18891425608678,19.478597959648425,0.02896590993521748,16.803319656917168,18.20663350933412,4.075358000021366,-20.36923037859047,5.064412322905183,4.118899170499027,-18.163784164011304,5.0015121149618675,99.72013232056204
5,25,5.061355744629425,0.03252900962000442,21.79817424715223,60.13557190627611,0.38528872671848546,0.016115787578002028,0.009463098390909863,0.23919814981229262,3.4952011819158337,0.03252900962000442,20.243234022538452,21.79817424715223,0.027700070652008614,19.56914238969098,20.91326519134857,0.026857032690516293,18.1874560139818,19.480712720818246,0.029043295960832792,16.801362627702453,18.208239437040486,4.075482843576007,-20.206212696882197,5.0613557446294255,4.1189017092458435,-18.242252845602536,4.998293538527842,99.65994717553976
6,30,5.05858620303831,0.03256768996877461,21.799438747715335,60.09949269428506,0.4276592187056849,0.019251730992166927,0.01134439194764525,0.23805809000715433,3.4952337135537386,0.03256768996877461,20.24210328090608,21.799438747715335,0.02781666558835738,19.569342808262107,20.914645247359832,0.02689779365143812,18.18594177190679,19.482815474659567,0.029098589050665424,16.800961155792734,18.209221709971647,4.075594170219152,-20.061296431961672,5.058586203038308,4.118903956951266,-18.300745745168456,4.995380602403699,99.6054138878996
7,35,5.055989504194659,0.03260709001238773,21.800465680466495,60.06553742505003,0.46700344105190084,0.02238646840496017,0.013222493943061409,0.23700434155002736,3.495119151240355,0.03260709001238773,20.24095154528282,21.800465680466495,0.027868886326454234,19.56846384014789,20.91679487837218,0.026929500528648377,18.184425397364727,19.48479683955392,0.029139356119684656,16.798346333119763,18.21047412288965,4.075682556670261,-19.936322372210793,5.055989504194668,4.118906008600409,-18.348581372760293,4.992657174613841,99.55428393722114
8,40,5.053466834022297,0.032646523195625575,21.801242220288515,60.0326964835248,0.5039215724304427,0.025519854802041664,0.01509763307903711,0.23601979455475994,3.4951235328542145,0.032646523195625575,20.23977736992449,21.801242220288515,0.027911619472622818,19.56735496080445,20.918660571189953,0.026962982614404662,18.182856528358347,19.486638063625964,0.02918969870916186,16.795988732969825,18.211479401589123,4.075735460951165,-19.816936084988374,5.053466834022307,4.118907896522975,-18.3695933431394,4.990070882605963,99.50461163817643
9,45,5.0509077633989845,0.032685130007538275,21.80181209610091,59.999842222798925,0.5388241016066786,0.028651448062504414,0.01696999422108547,0.2350926039655639,3.4952358828106935,0.032685130007538275,20.238563756174848,21.80181209610091,0.02795258680841739,19.566164396650155,20.92023798977457,0.02700213574707817,18.181264563600475,19.488285230197484,0.029240321207003196,16.794109892154154,18.212234168403803,4.075728386843248,-19.695763170375116,5.050907763398987,4.118909652850078,-18.387106898254842,4.987598427751548,99.45422260092917
10,50,5.048290868363894,0.03272150000827771,21.80225572480973,59.96669281499552,0.5720068131085441,0.03178070351813744,0.018839730087876205,0.23421412786511783,3.4952893153187414,0.03272150000827771,20.23733344412478,21.80225572480973,0.027991867024400995,19.564929472368917,20.921592120940527,0.027046239133743023,18.17971681154855,19.489713535490555,0.02929113588918524,16.792789258789178,18.212854477246744,4.075664182826738,-19.605284193271515,5.048290868363902,4.118911350107096,-18.410386727577247,4.985222153662896,99.40269497984903
11,55,5.045720118392402,0.03275527441740973,21.802684442765372,59.93419283467074,0.6037025950649877,0.03490733396712642,0.0207069734059786,0.23337763476369558,3.4952140928993303,0.03275527441740973,20.236141899810463,21.802684442765372,0.028029507731873692,19.563700467558157,20.922805195874624,0.02709502187547601,18.178318076184283,19.490949129408868,0.029327341967806397,16.791264877438543,18.21341405477312,4.075584479052345,-19.553826600456496,5.045720118392403,4.118912946197449,-18.4341670911071,4.982931867023327,99.35207597196121
12,60,5.043332781961661,0.03278632331836366,21.803175166893123,59.903917351784884,0.6341072561426131,0.03803155872617481,0.02257183916491101,0.23257757619799876,3.4950210633747307,0.03278632331836366,20.235038413832463,21.803175166893123,0.028065444306471666,19.562524364861666,20.923947792881012,0.027149369688421566,18.177177484725693,19.492086188351177,0.029342975855852327,16.78904017950134,18.214007158825698,4.075536491338896,-19.51805081048656,5.043332781961659,4.118914458136076,-18.443487824222018,4.9807171832686326,99.30506844382406
13,65,5.041147074652714,0.032814673597752274,21.80374375089368,59.876059325324526,0.6633827135290318,0.041153758084860215,0.024434427995615238,0.23180943048475333,3.494775326371004,0.032814673597752274,20.234042378889725,21.80374375089368,0.02810004904743879,19.56144078461035,20.925062779798793,0.02720444988284072,18.17623893419729,19.49323597097919,0.029355791970331956,16.7867053255949,18.214954377145347,4.07552856409787,-19.471507699370072,5.041147074652712,4.118915952795793,-18.446525571719235,4.9785710238214635,99.26203106689555
14,70,5.039098400997956,0.03284061530186122,21.804387287571778,59.84992340833475,0.6916600712618788,0.04427417930351396,0.02629482785785342,0.23106956139549248,3.494555434165851,0.03284061530186122,20.233160537614943,21.804387287571778,0.028135079678303577,19.560504698932885,20.926151649610762,0.027249163688313604,18.17523322079419,19.49446990092918,0.029396700939357156,16.785271060015482,18.216621113715753,4.075540320532596,-19.420627777788617,5.039098400997964,4.118917380583043,-18.465164184602827,4.976486502557863,99.22169193277526
